# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0 * T
# sensitivity = 0.05
#D            SNR
0.000001     0.371086
0.000002     7.848600
0.000003     18.145569
0.000004     48.296215
0.000005     57.052195                 
0.000006     59.301756
0.000007     80.127284
0.000008     98.907323
0.000009     83.710443
0.000010     72.456672
0.000015     56.433053
0.000020     62.340710
0.000025     55.295348
0.000030     59.823677
0.000035     40.615528
0.000040     42.280046
0.000045     36.692698
0.000050     31.380759

