# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.50 * T
# sensitivity = 0.05
#D            SNR
0.000001    0.226800
0.000002    5.782956
0.000003    11.742925
0.000004    11.938486
0.000005    11.842570
0.000006    10.863523
0.000007    12.849518
0.000008    12.892842
0.000009    12.120296
0.000010    11.344365
0.000015    11.739177
0.000020    11.395671
0.000025    11.021338
0.000030    10.927401
0.000035    12.532964
0.000040    11.314333
0.000045    12.944142
0.000050    10.279891

