# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.00 * T
# sensitivity = 0.00
# (goly samodzielny neuron -- for reference)
#D            SNR
0.000001    0.166911
0.000002    3.726357
0.000003    9.739453
0.000004    18.985189
0.000005    28.464621
0.000006    31.094121
0.000007    39.500995
0.000008    45.675934
0.000009    41.118036
0.000010    50.040754
0.000015    41.970672
0.000020    36.566558
0.000025    25.151575
0.000030    26.852932
0.000035    21.507578
0.000040    18.684705
0.000045    20.901822
0.000050    15.443272

